機種,LotNo,設備,日時,X,R,n
CLUN50H3618C4-502L7M4,DR3LotNo.1,328,2020/07/03 09:51:58,669.76,429.29
clun50h3618,c4-502l7m4,328,2020/07/03 10:25:24,664.72,381.96
CLUN50H3618C4-502L7M4,DR3LotNo.1,328,2020/07/03 16:46:18,644.97,448.24
MSL931H3712C4-505L3k3-B15,DR3LotNo.2,333,2020/07/20 11:17:08,454.87,162.86
MSL931H3712C4-505L3k3-B15,DR3LotNo.3,333,2020/07/20 11:33:01,319.78,78.68
CLU04CH1212C4-000,20827DD001,328,2020/08/28 08:53:36,885.68,439.02
Product CLU028H0701C4-000,20902DD004,328,2020/09/04 13:31:31,362.24,162.43
Product CLU028H0701C4-000,20902DD004,328,2020/09/04 13:56:37,406.35,300.41
Product CLU028H0701C4-000,20902DD004,328,2020/09/04 14:13:43,368.96,159.29
Product CLU028H0701C4-000,20902DD004,328,2020/09/04 14:28:16,529.32,411.99
Product CLU028H0701C4-000,20902DD004,328,2020/09/04 14:43:42,389.99,150.93
CLU026H0701C4-xxx, S-Re-026-,328,2020/09/08 09:08:06,521.27,311.09
CLU026H0701C4-xxx,S-Re-026-3,328,2020/09/08 09:42:14,748.09,180.38
CLU026H0701C4-xxx,S-Re-026-5,328,2020/09/08 09:59:34,623.50,172.83
CLU026H0701C4-xxx,S-Re-02C-1,328,2020/09/08 10:13:56,592.75,245.39
CLU026H0701C4-xxx,S-Re-02C-3,328,2020/09/08 10:28:05,792.07,215.47
CLU026H0701C4-xxx,S-Re-02C-5,328,2020/09/08 10:40:47,616.64,199.98
CLU026H0701C4-xxx,S-Re-026-2,328,2020/09/08 10:54:00,508.40,272.39
CLU026H0701C4-xxx,S-Re-026-4,328,2020/09/08 11:06:41,664.73,295.57
CLU026H0701C4-xxx,S-Re-026-6,328,2020/09/08 11:17:43,555.17,247.23
CLU026H0701C4-xxx,S-Re-02C-2,328,2020/09/08 11:30:27,627.64,144.77
CLU026H0701C4-xxx,S-Re-02C-4,328,2020/09/08 11:42:34,779.52,274.48
CLU026H0701C4-xxx,S-Re-02C-6,328,2020/09/08 11:53:33,625.67,174.06
CLU026H0701C4-xxx        S-Re,-001401-ue,328,2020/09/10 08:42:39,515.41,227.52
CLU026H0701C4-xxx        S-Re-0,01401-sita,328,2020/09/10 09:07:14,487.30,153.04
CLU026H0701C4-xxx        S-Re,-910397-ue,328,2020/09/10 09:28:13,517.64,189.31
CLU026H0701C4-xxx        S-Re-9,10397-sita,328,2020/09/10 09:46:16,444.21,268.45
CLUN52H3618C4-00A,20916DD001,339,2020/09/17 16:05:30,705.91,431.74
CLUN52H3618C4-00A,20917DD002,339,2020/09/18 12:51:00,702.70,462.39
CLUN52H3618C4-00A,20918DD003,339,2020/09/19 15:08:59,605.68,319.3
MHL944H4711C4W0AA,20923DD001,333,2020/09/24 08:47:35,686.51,404.66
MHL944H4711C4W0AA,20923DD002,342,2020/09/24 09:00:42,730.82,236.13
MHL944H4711C4W0AA,20923DD006,342,2020/09/24 20:27:22,788.18,368.36
MHL944H4711C4W0AA,20923DD008,342,2020/09/25 02:59:39,477.56,235.36
MHL944H4711C4W0AA,20923DD010,342,2020/09/25 09:41:22,687.03,379.45
MHL944H4711C4W0AA,20924DD012,342,2020/09/25 12:56:14,739.91,968.357
MHL944H4711C4W0AA,20924DD013,335,2020/09/25 13:25:48,544.57,288.05
MHL944H4711C4W0AA,20924DD015,342,2020/09/25 18:32:47,867.64,388.95
MHL944H4711C4W0AA,20924DD016,334,2020/09/26 00:40:41,439.80,344.05
MHL944H4711C4W0AA,20925DD018,342,2020/09/26 04:51:41,887.12,487.48
MHL944H4711C4W0AA,20925DD020,342,2020/09/26 14:31:24,640.02,361.74
MHL944H4711C4W0AA,20925DD022,335,2020/09/26 17:59:01,656.94,385.37
MSL937H2414C4-0AC,20925DD001,333,2020/09/27 02:09:18,541.56,146.52
MSL937H2414C4-0AC,20925DD003,333,2020/09/28 09:01:50,574.92,167.69
MSL937H2414C4-0AC,20925DD005,333,2020/09/29 06:48:36,610.45,196.87
MSL931H3712C4-0AC,20928DD001,333,2020/09/29 17:41:55,582.59,204.1
MSL931H3712C4-0AC,20928DD003,333,2020/09/30 06:57:21,653.87,279.98
MSL931H3712C4-0AC,20929DD005,333,2020/09/30 18:55:33,517.84,142.63
MHL944H4711C4W0AA,20928DD025,335,2020/10/01 19:51:18,802.00,424.14
MHL944H4711C4W0AA,20928DD026,335,2020/10/02 05:20:26,590.22,382.6
MHL944H4711C4W0AA,20928DD028,335,2020/10/02 20:18:36,591.48,391.73
MSL931H3712C4-0AC,20929DD007,333,2020/10/02 20:41:00,580.22,220.03
MHL944H4711C4W0AA,20928DD030,342,2020/10/02 20:58:42,625.28,346.79
MHL944H4711C4W0AA,20928DD032,342,2020/10/05 08:54:06,617.98,421.42
MHL944H4711C4W0AA,20929DD035,335,2020/10/06 11:00:08,616.53,310.76
MSL931H3712C4-0AC,20929DD009,333,2020/10/06 14:38:52,676.45,209.32
MHL944H4711C4W0AA,20929DD036,335,2020/10/06 20:59:39,489.73,236.58
MSL937H2414C4-0AC,20928DD007,333,2020/10/07 02:09:50,567.23,299.91
MSL931H3712C4-0AC,20929DD010,333,2020/10/07 02:24:30,605.25,132.37
MSL937H2414C4-0AC,20X06DD001,333,2020/10/07 08:16:01,626.51,361.83
CLUN50H3618C4-00A,20X02DD001,328,2020/10/07 15:26:17,546.58,353.29
MSL937H2414C4-0AC,20X06DD003,333,2020/10/07 20:49:19,683.06,444.41
