SGA-DP200276,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.297,3.113,,0.9171,,0.28956,0.28214,,,26.94,,,
2,2.342,3.115,,0.9177,,0.29093,0.28062,,,27.56,,,
3,2.322,3.137,,0.9179,,0.28949,0.2794,,,27.08,,,
4,2.297,3.106,,0.9185,,0.28891,0.28048,,,27.38,,,
5,2.301,3.113,,0.9185,,0.29035,0.28194,,,27.37,,,
6,2.336,3.114,,0.9169,,0.29168,0.28164,,,27.67,,,
7,2.304,3.107,,0.9181,,0.28929,0.28055,,,27.07,,,
8,2.345,3.129,,0.9177,,0.28936,0.27796,,,27.87,,,
9,2.343,3.112,,0.9175,,0.29178,0.28258,,,27.85,,,
10,2.33,3.111,,0.9175,,0.2902,0.27968,,,27.49,,,
11,2.349,3.118,,0.919,,0.28661,0.27249,,,28.34,,,
12,2.356,3.111,,0.9169,,0.28952,0.27586,,,28.72,,,
13,2.357,3.113,,0.9167,,0.28611,0.27067,,,28.44,,,
14,2.361,3.114,,0.9167,,0.2885,0.27401,,,28.67,,,
15,2.341,3.119,,0.9169,,0.28587,0.27098,,,27.88,,,
16,2.351,3.119,,0.9187,,0.28928,0.27653,,,28.54,,,
17,2.351,3.118,,0.9183,,0.28658,0.27186,,,28.08,,,
18,2.353,3.121,,0.9187,,0.28902,0.27584,,,28.6,,,
19,2.349,3.121,,0.9187,,0.28721,0.27335,,,28.21,,,
20,2.374,3.12,,0.9171,,0.28646,0.27036,,,28.19,,,
21,2.359,3.126,,0.9179,,0.28303,0.26647,,,27.94,,,
22,2.354,3.117,,0.9187,,0.28138,0.26371,,,27.9,,,
23,2.354,3.116,,0.9177,,0.28238,0.26517,,,28.01,,,
24,2.359,3.118,,0.9181,,0.28329,0.26704,,,27.8,,,
25,2.36,3.123,,0.9183,,0.28217,0.26518,,,27.98,,,
26,2.355,3.11,,0.9183,,0.28346,0.26833,,,27.89,,,
27,2.343,3.111,,0.9173,,0.28402,0.27035,,,28.02,,,
28,2.349,3.111,,0.9175,,0.28258,0.26682,,,28.12,,,
29,2.353,3.109,,0.9175,,0.28355,0.26949,,,28.1,,,
30,2.355,3.112,,0.9183,,0.28297,0.26766,,,28,,,
