28022,,
SKIP数,F1549,1001
部材交換免責,F1166,1001
立ち上げ免責,F1939,1001
不着確認免責,F1940,1001
ゴミ混入,F0006,1001
その他免責,F0004,1001
28022,,
(LED1)スパークミス,F1187,LED1
(ZD)スパークミス,F1187,Z001
(LED1)ﾀｯﾁ高さ異常,F1178,LED1
(ZD)ﾀｯﾁ高さ異常,F1178,Z001
(LED1)ｶｯﾄｴﾗｰ,F1176,LED1
(ZD)ｶｯﾄｴﾗｰ,F1176,Z001
(LED1)ﾜｲﾔｰﾌｨｰﾄﾞ量ｴﾗｰ,F1179,LED1
(ZD)ﾜｲﾔｰﾌｨｰﾄﾞ量ｴﾗｰ,F1179,Z001
(LED1)装置ﾐｽ（その他）,F1180,LED1
(ZD)装置ﾐｽ（その他）,F1180,Z001
(LED1)つぶし不足エラー,F3368,LED1
(LED1)つぶし過剰エラー,F3369,LED1
(LED1)つぶし時間リミット,F3370,LED1
28022,,
(LED1)P-付かず,F0530,LED1
(ZD)P-付かず,F0530,Z001
(LED1)N-付かず,F0531,LED1
(LED1)P-剥がれ,F0532,LED1
(ZD)P-剥がれ,F0532,Z001
(LED1)N-剥がれ,F0533,LED1
(LED1)P-1st不着誤検出,F1421,LED1
(ZD)P-1st不着誤検出,F1421,Z001
(LED1)N-1st不着誤検出,F1417,LED1
(LED1)P-2nd不着誤検出,F1422,LED1
(ZD)P-2nd不着誤検出,F1422,Z001
(LED1)N-2nd不着誤検出,F1418,LED1
(LED1)P-補強ワイヤー2nd不着誤検出,F1424,LED1
(LED1)N-補強ワイヤー2nd不着誤検出,F1420,LED1
(LED1)P-2ndハネ,F0525,LED1
(ZD)P-2ndハネ,F0525,Z001
(LED1)N-2ndハネ,F0526,LED1
(LED1)P-2nd補強ハネ,F1441,LED1
(LED1)N-2nd補強ハネ,F1442,LED1
28021,,
ｺﾞﾐ付着,F0005,1001
(LED1)チップ無し,F0520,LED1
(ZD)チップ無し,F0520,Z001
(LED1)Zθズレ,F0517,LED1
(ZD)Zθズレ,F0517,Z001
(LED1)XYズレ,F0515,LED1
(ZD)XYズレ,F0515,Z001
(LED1)θズレ,F0516,LED1
(ZD)θズレ,F0516,Z001
(LED1)ダイス剥がれ（ゴミ起因）,F1425,LED1
(LED1)ダイス剥がれ（ゴミ起因以外）,F1426,LED1
(ZD)ダイス剥がれ（ゴミ起因）,F1425,Z001
(ZD)ダイス剥がれ（ゴミ起因以外）,F1426,Z001
(LED1)チップ多数,F0521,LED1
(ZD)チップ多数,F0521,Z001
(LED1)樹脂少量,F0019,LED1
(ZD)樹脂少量,F0019,Z001
(LED1)樹脂多量,F0020,LED1
(ZD)樹脂多量,F0020,Z001
(LED1)樹脂付着,F0021,LED1
(ZD)樹脂付着,F0021,Z001
(LED1)樹脂飛散,F0022,LED1
(ZD)樹脂飛散,F0022,Z001
(LED1)コレットマーク,F0519,LED1
(ZD)コレットマーク,F0519,Z001
21433,,
(LED1)電極傷,F0016,LED1
(LED1)電極汚れ,F0114,LED1
(LED1)異物付着,F0011,LED1
(ZD)電極傷,F0016,Z001
(ZD)電極汚れ,F0114,Z001
(ZD)異物付着,F0011,Z001
