2022/01/11 11:37:25.721	PRGM DATA WRITE,PGM1,EDIT START
2022/01/11 11:37:25.790	OK:01,PRGM DATA WRITE,PGM1,EDIT START
2022/01/11 11:37:26.810	PRGM DATA WRITE,PGM1,STEP1,TEMP120,TRAMP OFF,TIME 1:00,GRANTY ON
2022/01/11 11:37:26.910	OK:01,PRGM DATA WRITE,PGM1,STEP1,TEMP120,TRAMP OFF,TIME 1:00,GRANTY ON
2022/01/11 11:37:27.929	PRGM DATA WRITE,PGM1,CYCLE,1
2022/01/11 11:37:27.982	OK:01,PRGM DATA WRITE,PGM1,CYCLE,1
2022/01/11 11:37:29.001	PRGM DATA WRITE,PGM1,HTEMP,130
2022/01/11 11:37:29.086	OK:01,PRGM DATA WRITE,PGM1,HTEMP,130
2022/01/11 11:37:30.104	PRGM DATA WRITE,PGM1,END,OFF
2022/01/11 11:37:30.189	OK:01,PRGM DATA WRITE,PGM1,END,OFF
2022/01/11 11:37:31.208	PRGM DATA WRITE,PGM1,EDIT END
2022/01/11 11:37:31.277	OK:01,PRGM DATA WRITE,PGM1,EDIT END
2022/01/11 11:37:43.228	MODE,RUN1
2022/01/11 11:37:43.266	OK:01,MODE,RUN1
2022/01/11 11:37:44.285	KEYPROTECT,ON
2022/01/11 11:37:44.369	OK:01,KEYPROTECT,ON
2022/01/11 11:37:45.360	MON?,DETAIL
2022/01/11 11:37:52.653	KEYPROTECT,OFF
2022/01/11 11:37:55.368	MON?,DETAIL
2022/01/11 11:37:55.399	60,,RUN,0
2022/01/11 11:37:55.715	PRGM MON?
2022/01/11 11:37:55.769	1,120,1:00,0,0
2022/01/11 11:38:05.379	MON?,DETAIL
2022/01/11 11:38:05.449	59,,RUN,0
2022/01/11 11:38:05.765	PRGM MON?
2022/01/11 11:38:05.796	1,120,1:00,0,0
2022/01/11 11:38:06.769	KEYPROTECT,OFF
2022/01/11 11:38:06.869	OK:01,KEYPROTECT,OFF
2022/01/11 11:38:07.402	MODE,STANDBY
2022/01/11 11:38:07.471	OK:01,MODE,STANDBY
2022/01/11 11:38:15.381	MON?,DETAIL
2022/01/11 11:38:15.466	61,,STANDBY,0
