SGA-DPXXXXXX,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3543,2.84204,,0.9235,,0.340373,0.355733,,,35.8118593,81.034,-10.776,
2,2.3672,2.82738,,0.9237,,0.34077,0.355356,,,36.24231156,81.012,-10.761,
3,2.3532,2.84318,,0.9237,,0.339813,0.353583,,,35.74703518,81.637,-8.198,
4,2.3578,2.84488,,0.9231,,0.339541,0.355575,,,36.32844221,80.683,-11.731,
5,2.3516,2.84743,,0.9235,,0.341283,0.356518,,,36.03125628,81.412,-10.112,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.3807,2.83769,,0.9264,,0.316633,0.333694,,,36.05688442,80.656,-7.67,
12,2.374,2.84119,,0.9258,,0.315511,0.335116,,,36.02281407,80.22,-10.714,
13,2.3393,2.82662,,0.9266,,0.314082,0.333109,,,36.32653266,81.875,-3.376,
14,2.3297,2.82047,,0.9248,,0.315411,0.332481,,,35.80522613,82.094,-1.302,
15,2.3389,2.82738,,0.9244,,0.315477,0.332453,,,36.03859296,81.939,-2.039,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3501,2.88007,,0.9256,,0.309263,0.324574,,,35.79688442,84.419,12.002,
22,2.3526,2.87118,,0.9254,,0.310448,0.324142,,,35.84572864,84.513,11.157,
23,2.3796,2.85519,,0.9242,,0.309335,0.324794,,,35.94040201,81.155,-3.697,
24,2.3932,2.86929,,0.9239,,0.310334,0.322247,,,35.96070352,82.554,2.565,
25,2.3526,2.86276,,0.9252,,0.31073,0.32469,,,36.03356784,84.251,8.983,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
