SGA-DP200293,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3838,2.8843,,1.0892,,0.341592,0.353754,,,34.56633166,82.892,8.703,
2,2.3857,2.89528,,0.9859,,0.341905,0.354563,,,34.73396985,82.842,8.824,
3,2.3853,2.86907,,1.0019,,0.341694,0.355713,,,34.52693467,82.413,6.98,
4,2.3734,2.87891,,1.0481,,0.341356,0.355444,,,34.72281407,82.527,7.172,
5,2.3869,2.8597,,1.1142,,0.341458,0.355425,,,34.60231156,82.314,6.586,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.39,2.86632,,1.1846,,0.329562,0.347554,,,34.73798995,81.624,4.712,
12,2.3936,2.88705,,1.1753,,0.328158,0.346981,,,34.56512563,81.776,5.509,
13,2.394,2.89632,,1.1358,,0.325848,0.343723,,,34.68723618,81.978,6.646,
14,2.3811,2.87418,,1.1599,,0.327592,0.34525,,,34.62231156,82.115,6.899,
15,2.3836,2.87825,,1.2227,,0.329073,0.346609,,,34.68743719,82.058,6.563,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3499,2.88676,,0.9179,,0.307621,0.322385,,,33.49115578,84.429,18.298,
22,2.3497,2.87267,,1.0333,,0.309056,0.321675,,,33.20432161,84.949,21.371,
23,2.3476,2.89026,,1.1125,,0.30732,0.321099,,,33.42462312,84.654,19.988,
24,2.3518,2.87134,,0.9169,,0.307518,0.321536,,,33.25708543,84.565,19.319,
25,2.3564,2.87484,,0.9175,,0.307802,0.320246,,,33.23467337,85.373,23.862,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
