
"TESTER","4000 Optima","20236819"
"DATE","2020/09/26"
"TIME","04:51:41"
"TESTGROUP","DIE SHEAR 2.0KG"
"Product","MHL944H4711C4W0AA        20925DD018"
"Operator","8010708"
"Bonder","342"
"Chip-Place","DS-LED-Blue"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",861.00,"2",""
"TEST",757.07,"2",""
"TEST",1009.0,"2",""
"TEST",579.02,"2",""
"TEST",857.81,"2",""
"TEST",921.20,"2",""
"TEST",926.90,"2",""
"TEST",933.62,"2",""
"TEST",1066.5,"2",""
"TEST",959.08,"2",""
