
"TESTER","4000 Optima","20236819"
"DATE","2020/09/23"
"TIME","11:59:49"
"TESTGROUP","BALL SHEAR 250g"
"Product","CLUN52H3618C4-00A        20917DD002"
"Operator","8011269"
"Bonder","3"
"Chip-Place","BS-ZD-Bump"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",56.209,"4",""
"TEST",57.882,"4",""
"TEST",58.519,"4",""
"TEST",59.934,"4",""
"TEST",58.988,"4",""
"TEST",57.882,"4",""
"TEST",56.830,"4",""
"TEST",58.973,"4",""
"TEST",54.846,"4",""
"TEST",59.062,"4",""
