
"TESTER","4000 Optima","20236819"
"DATE","2020/09/23"
"TIME","11:29:51"
"TESTGROUP","PULL CUT 25g"
"Product","CLUN52H3618C4-00A        20917DD002"
"Operator","8011269"
"Bonder","3"
"Chip-Place","PC-LED-P-P"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",6.6633,"2",""
"TEST",6.9901,"2",""
"TEST",6.3862,"2",""
"TEST",6.8238,"2",""
"TEST",6.2922,"2",""
"TEST",6.4821,"2",""
"TEST",6.5832,"2",""
"TEST",6.2830,"2",""
"TEST",6.3125,"2",""
"TEST",6.4053,"2",""
