
"TESTER","4000 Optima","20236819"
"DATE","2020/09/08"
"TIME","09:08:06"
"TESTGROUP","DIE SHEAR 2.0KG"
"Product","CLU026H0701C4-xxx        S-Re-026-1"
"Operator","8011512"
"Bonder","328"
"Chip-Place","DS-LED-Blue"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",573.99,"2",""
"TEST",567.03,"2",""
"TEST",494.64,"2",""
"TEST",295.37,"1",""
"TEST",556.56,"2",""
"TEST",554.82,"2",""
"TEST",606.46,"2",""
