
"TESTER","4000 Optima","20236819"
"DATE","2020/09/25"
"TIME","05:27:52"
"TESTGROUP","BALL SHEAR 250g"
"Product","MHL944H4711C4W0AA        20923DD008"
"Operator","8011425"
"Bonder","7"
"Chip-Place","BS-Lead-Bump"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",107.80,"4",""
"TEST",112.04,"4",""
"TEST",101.22,"4",""
