
"TESTER","4000 Optima","20236819"
"DATE","2020/08/26"
"TIME","10:32:25"
"TESTGROUP","DIE SHEAR 400G"
"Product","CLU028H0701C4-000        20825DD001"
"Operator","8010708"
"Bonder","192"
"Chip-Place","DS-ZD"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",79.409,"2",""
