
"TESTER","4000 Optima","20236819"
"DATE","2020/09/28"
"TIME","23:58:21"
"TESTGROUP","BALL SHEAR 250g"
"Product","MSL937H2414C4-0AC        20925DD001"
"Operator","8011269"
"Bonder","8"
"Chip-Place","BS-LED-Cathode"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",63.730,"4",""
"TEST",63.881,"4",""
"TEST",66.209,"4",""
"TEST",64.701,"4",""
"TEST",64.463,"4",""
"TEST",62.766,"4",""
"TEST",65.288,"4",""
"TEST",69.373,"4",""
"TEST",69.695,"4",""
"TEST",61.296,"4",""
