
"TESTER","4000 Optima","20236819"
"DATE","2020/07/20"
"TIME","11:17:08"
"TESTGROUP","DIE SHEAR 2.0KG"
"Product","DR3LotNo.2DR3LotNo.2MSL931H3712C4-505L3k3-B15DR3LotNo.2"
"Operator","8010708"
"Bonder","333"
"Chip-Place","DS-LED-Blue"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",423.47,"2",""
"TEST",449.70,"2",""
"TEST",545.53,"2",""
"TEST",535.22,"2",""
"TEST",457.29,"2",""
"TEST",425.90,"2",""
"TEST",382.67,"2",""
"TEST",506.46,"2",""
"TEST",415.85,"2",""
"TEST",406.62,"2",""
