
"TESTER","4000 Optima","20236819"
"DATE","2020/09/24"
"TIME","13:14:38"
"TESTGROUP","PULL CUT 25g"
"Product","MHL944H4711C4W0AA        20923DD001"
"Operator","8011269"
"Bonder","9"
"Chip-Place","PC-LED-C-L"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",11.710,"2",""
"TEST",11.366,"2",""
"TEST",11.634,"2",""
"TEST",11.762,"2",""
"TEST",11.939,"4",""
"TEST",11.675,"2",""
"TEST",11.803,"2",""
"TEST",11.819,"2",""
"TEST",11.079,"2",""
"TEST",11.562,"2",""
