機種,LotNo,測定箇所,強度,破壊モード,コメント,設備,作業者,日時,テスト装置,テストグループ
CU0409-1812E1W12-00E-6212,22519DD003,BS-RED_LED-Cathode,56.568,4,,2,8011425,2022/05/28 00:48:38,4000 Optima_20236819,BALL SHEAR 250g
CU0409-1812E1W12-00E-6212,22519DD003,BS-RED_LED-Cathode,58.827,4,,2,8011425,2022/05/28 00:48:38,4000 Optima_20236819,BALL SHEAR 250g
CU0409-1812E1W12-00E-6212,22519DD003,BS-RED_LED-Cathode,57.579,4,,2,8011425,2022/05/28 00:48:38,4000 Optima_20236819,BALL SHEAR 250g
CU0409-1812E1W12-00E-6212,22519DD003,BS-RED_LED-Cathode,58.744,4,,2,8011425,2022/05/28 00:48:38,4000 Optima_20236819,BALL SHEAR 250g
CU0409-1812E1W12-00E-6212,22519DD003,BS-RED_LED-Cathode,59.213,4,,2,8011425,2022/05/28 00:48:38,4000 Optima_20236819,BALL SHEAR 250g
