
"TESTER","4000 Optima","20236819"
"DATE","2020/09/04"
"TIME","11:53:10"
"TESTGROUP","DIE SHEAR 2.0KG"
"Product","CLU028H0701C4-000        20903DD005"
"Operator","8010708"
"Bonder","328"
"Chip-Place","DS-LED-Blue"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",416.14,"2",""
"TEST",480.79,"2",""
"TEST",581.33,"2",""
"TEST",323.18,"2",""
"TEST",399.61,"2",""
"TEST",435.66,"2",""
"TEST",420.46,"2",""
