
"TESTER","4000 Optima","20236819"
"DATE","2020/09/24"
"TIME","19:26:16"
"TESTGROUP","BALL SHEAR 250g"
"Product","MHL944H4711C4W0AA        20923DD002"
"Operator","8011269"
"Bonder","9"
"Chip-Place","BS-LED-Bump"
"USERFIELD5",""
"USERFIELD6",""
"USERFIELD7",""
"USERFIELD8",""
"USERFIELD9",""
"USERFIELD10",""
"TEST",54.710,"4",""
"TEST",54.288,"4",""
"TEST",55.058,"4",""
"TEST",54.685,"4",""
"TEST",54.147,"4",""
"TEST",59.898,"4",""
"TEST",58.794,"4",""
"TEST",58.671,"4",""
"TEST",59.265,"4",""
"TEST",56.154,"4",""
