Fcode,Format_name,name,Type,NeedGroveBox,許容誤差
F-402-B40,NP-206-01,NP-206-01,YELLOW,False,-1
F-402-E90,BR-102C,BR-102C,RED,False,-1
F-402-G40,VR-103C,VR-103C,RED,False,-1
F-402-H80,VR-103B,VR-103B,RED,False,-1
F-402-H90,VR-101B,VR-101B,RED,False,-1
F-402-J10,BR-102/J,BR-102/J,RED,False,-1
F-402-P30,RE-312N,RE-312N,RED,False,-1
F-402-P70,GR-MW540K,GR-MW540K,YELLOW,False,-1
F-402-Q30,NP-206-114,NP-206-114,YELLOW,False,-1
F-402-R20,GR-MW540K8SD,GR-MW540K8SD,YELLOW,False,-1
F-402-S10,NP-381-52,NP-381-52,RED,False,-1
F-402-S50,NP-381-49,NP-381-49,RED,False,-1
F-402-S60,NP-391-3203,NP-391-3203,RED,False,-1
F-402-S70,NP-2061-1003,NP-2061-1003,YELLOW,False,-1
F-402-S80,NP-206-945,NP-206-945,YELLOW,False,-1
F-402-S90,BR2/607A,BR2/607A,RED,False,-1
