機種,LotNo,測定箇所,強度,破壊モード,コメント,設備,作業者,日時,テスト装置,テストグループ
MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,12.593,2,,9,8011269,2020/09/25 16:06:21,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20924DD012,PC-LED-A-L,11.722,2,,9,8011269,2020/09/25 16:06:21,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20923DD010,PC-LED-A-L,12.113,2,,7,8011269,2020/09/25 11:14:38,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20923DD010,PC-LED-A-L,12.417,2,,7,8011269,2020/09/25 11:14:38,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20923DD010,PC-LED-A-L,11.780,1,,7,8011269,2020/09/25 11:14:38,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20923DD010,PC-LED-A-L,11.560,2,,7,8011269,2020/09/25 11:14:38,4000 Optima_20236819,PULL CUT 25g
MHL944H4711C4W0AA,20923DD010,PC-LED-A-L,12.119,2,,7,8011269,2020/09/25 11:14:38,4000 Optima_20236819,PULL CUT 25g
