SGA-DP200552,,,,,,,,,,,,,
No,Vf1,Vf,Ir,Vr,Iv,x,y,dom,peak,lu,Ra,R9,Notes
1,2.3788,2.88052,,0.9844,,0.341822,0.355286,,,34.55226131,83.036,8.725,
2,2.378,2.88004,,0.9618,,0.340869,0.354036,,,34.63577889,83.159,9.459,
3,2.3817,2.88232,,1.1167,,0.340074,0.354936,,,34.53336683,82.508,7.086,
4,2.3832,2.86954,,1.004,,0.340018,0.354731,,,34.73939698,82.679,7.683,
5,2.3736,2.88052,,1.0441,,0.342417,0.355845,,,34.62211055,82.408,6.108,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,2.3859,2.86424,,1.2102,,0.33052,0.347749,,,34.7881407,81.759,5.966,
12,2.3853,2.86188,,1.1169,,0.328192,0.34575,,,34.76060302,82.178,6.996,
13,2.3838,2.89594,,1.1198,,0.330107,0.347806,,,34.81336683,81.944,6.309,
14,2.3857,2.86803,,1.1393,,0.33011,0.348092,,,34.72110553,82.135,6.091,
15,2.3882,2.87096,,1.094,,0.329137,0.347713,,,34.92,81.723,4.734,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,2.3458,2.87314,,1.015,,0.307356,0.321181,,,33.24201005,85.016,22.266,
22,2.3497,2.87967,,1.0358,,0.308081,0.321276,,,33.48231156,84.84,21.012,
23,2.351,2.87777,,0.9165,,0.308338,0.320918,,,33.41095477,84.924,21.337,
24,2.353,2.88998,,1.0069,,0.308918,0.321129,,,33.43356784,84.864,21.299,
25,2.3451,2.87134,,1.051,,0.307283,0.322726,,,33.55095477,84.566,19.333,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
